ID,X,Y,spud year,Direction
30-015-46278,6.076250E+05,3.549636E+06,2019,H
30-015-46251,6.100759E+05,3.564224E+06,2019,H
30-015-46277,6.080285E+05,3.549606E+06,2019,H
30-015-46275,6.080386E+05,3.549606E+06,2019,H
30-025-46117,6.327821E+05,3.553485E+06,2019,H
30-015-46047,6.146025E+05,3.570791E+06,2019,H
30-015-45864,6.096984E+05,3.552553E+06,2019,H
30-015-46291,6.064914E+05,3.552250E+06,2019,H
30-015-46429,6.108338E+05,3.564315E+06,2019,H
30-015-46248,6.097353E+05,3.564178E+06,2019,H
30-015-46232,6.096985E+05,3.552542E+06,2019,H
30-015-46307,6.175197E+05,3.552387E+06,2019,H
30-025-46187,6.210821E+05,3.547585E+06,2019,H
30-015-46211,6.203778E+05,3.550086E+06,2019,H
30-015-46210,6.203870E+05,3.550086E+06,2019,H
30-015-46304,6.175106E+05,3.552387E+06,2019,H
30-015-46351,6.178332E+05,3.552957E+06,2019,H
30-015-46048,6.152874E+05,3.570791E+06,2019,H
30-015-44991,6.127755E+05,3.565845E+06,2018,H
30-015-44989,6.127542E+05,3.565845E+06,2018,H
30-025-44497,6.344445E+05,3.548450E+06,2018,H
30-015-44990,6.127649E+05,3.565845E+06,2018,H
30-015-45077,6.134786E+05,3.565732E+06,2018,H
30-015-45079,6.134999E+05,3.565732E+06,2018,H
30-015-45078,6.134892E+05,3.565732E+06,2018,H
30-025-44648,6.350402E+05,3.548449E+06,2018,H
30-025-44913,6.350400E+05,3.548464E+06,2018,H
30-015-45386,6.145827E+05,3.570791E+06,2018,H
30-015-45389,6.152767E+05,3.570791E+06,2018,H
30-025-44496,6.256828E+05,3.545097E+06,2018,H
30-015-45250,6.162389E+05,3.570764E+06,2018,H
30-015-44717,6.202465E+05,3.562683E+06,2018,H
30-015-44718,6.202282E+05,3.562682E+06,2018,H
30-015-45161,6.202207E+05,3.566160E+06,2018,H
30-015-45178,6.201978E+05,3.566160E+06,2018,H
30-015-45177,6.202055E+05,3.566160E+06,2018,H
30-015-45176,6.202131E+05,3.566160E+06,2018,H
30-025-44304,6.324108E+05,3.553480E+06,2018,H
30-015-45071,6.204353E+05,3.546769E+06,2018,H
30-015-45070,6.204505E+05,3.546769E+06,2018,H
30-015-44921,6.110533E+05,3.541943E+06,2018,H
30-015-44920,6.110426E+05,3.541943E+06,2018,H
30-015-44714,6.107479E+05,3.544897E+06,2018,H
30-025-44749,6.343071E+05,3.543794E+06,2018,H
30-025-44750,6.343223E+05,3.543794E+06,2018,H
30-015-44713,6.107372E+05,3.544897E+06,2018,H
30-015-43798,6.173467E+05,3.552295E+06,2018,H
30-015-44938,6.072262E+05,3.552015E+06,2018,H
30-015-45128,6.077227E+05,3.561187E+06,2018,H
30-015-43800,6.204334E+05,3.548197E+06,2017,H
30-015-44478,6.055178E+05,3.546437E+06,2017,H
30-015-44486,6.055255E+05,3.546437E+06,2017,H
30-015-44429,6.171333E+05,3.553072E+06,2017,H
30-015-44479,6.058478E+05,3.546438E+06,2017,H
30-015-44477,6.055101E+05,3.546437E+06,2017,H
30-015-44428,6.171242E+05,3.553072E+06,2017,H
30-015-44487,6.058328E+05,3.546437E+06,2017,H
30-015-44488,6.058405E+05,3.546437E+06,2017,H
30-015-44480,6.058556E+05,3.546438E+06,2017,H
30-015-43799,6.187679E+05,3.552359E+06,2017,H
30-025-43136,6.240152E+05,3.546821E+06,2016,H
30-015-43854,6.121288E+05,3.565906E+06,2016,H
30-025-43353,6.267910E+05,3.553223E+06,2016,H
30-015-42688,6.188028E+05,3.548395E+06,2015,H
30-015-43320,6.190279E+05,3.550001E+06,2015,H
30-015-41235,6.203198E+05,3.541998E+06,2013,H
30-025-40922,6.238063E+05,3.541752E+06,2013,H
30-015-38453,6.175794E+05,3.561135E+06,2013,H
30-015-38669,6.070900E+05,3.558147E+06,2012,H
30-015-37616,6.149885E+05,3.575840E+06,2011,H
30-015-37651,6.133099E+05,3.575823E+06,2010,H
30-025-39609,6.327187E+05,3.561207E+06,2010,V
30-015-36506,6.144638E+05,3.561451E+06,2009,V
30-015-34594,6.133641E+05,3.576825E+06,2006,V
30-015-34783,6.145692E+05,3.560079E+06,2006,V
30-015-35033,6.049559E+05,3.574999E+06,2006,V
30-015-26395,6.160996E+05,3.566601E+06,2005,V
30-015-34331,6.046396E+05,3.574189E+06,2005,V
30-015-33656,6.188624E+05,3.576340E+06,2005,V
30-015-33164,6.130504E+05,3.561757E+06,2004,V
30-015-33727,6.157325E+05,3.567198E+06,2004,V
30-025-36594,6.326724E+05,3.564907E+06,2004,V
30-025-36489,6.314639E+05,3.564817E+06,2004,V
30-015-32435,6.116888E+05,3.565344E+06,2003,V
30-015-31889,6.189809E+05,3.561000E+06,2002,V
30-015-31085,6.137579E+05,3.560635E+06,2001,V
30-025-35677,6.338123E+05,3.568064E+06,2001,V
30-025-35345,6.347107E+05,3.562841E+06,2001,V
30-025-33911,6.237231E+05,3.573542E+06,2001,V
30-015-31177,6.134541E+05,3.559369E+06,2000,V
30-025-33909,6.261218E+05,3.574789E+06,2000,V
30-015-31352,6.094116E+05,3.545142E+06,2000,V
30-025-35112,6.336828E+05,3.551252E+06,2000,V
30-025-35068,6.340222E+05,3.567362E+06,2000,V
30-025-34909,6.347981E+05,3.556104E+06,2000,V
30-015-31235,6.122436E+05,3.542752E+06,2000,V
30-025-34626,6.323242E+05,3.550284E+06,1999,V
30-025-34674,6.330286E+05,3.568559E+06,1999,V
30-025-34750,6.329155E+05,3.554474E+06,1999,V
30-025-34653,6.337056E+05,3.555489E+06,1999,V
30-015-30606,6.069978E+05,3.543792E+06,1999,V
30-015-30818,6.187636E+05,3.557750E+06,1999,V
30-015-30485,6.143055E+05,3.546084E+06,1998,V
30-015-29850,6.199735E+05,3.557182E+06,1998,V
30-025-34441,6.345170E+05,3.567565E+06,1998,V
30-025-34398,6.346407E+05,3.568374E+06,1998,V
30-015-30278,6.081476E+05,3.545505E+06,1998,H
30-025-33801,6.253159E+05,3.574776E+06,1997,V
30-025-34165,6.342628E+05,3.566458E+06,1997,V
30-025-33717,6.310144E+05,3.564042E+06,1997,V
30-015-29307,6.084139E+05,3.544588E+06,1997,V
30-025-34148,6.310866E+05,3.562799E+06,1997,V
30-025-33356,6.240953E+05,3.573548E+06,1996,V
30-015-29252,6.190039E+05,3.558490E+06,1996,V
30-015-28526,6.161379E+05,3.563381E+06,1995,V
30-025-28144,6.325457E+05,3.549143E+06,1995,V
30-025-32946,6.336441E+05,3.552774E+06,1995,V
30-015-28572,6.164968E+05,3.567009E+06,1995,V
30-015-27479,6.139772E+05,3.575830E+06,1994,V
30-025-29191,6.343452E+05,3.552680E+06,1993,V
30-015-27270,6.131557E+05,3.574015E+06,1992,V
30-015-26296,6.135697E+05,3.576228E+06,1990,V
30-015-26382,6.139877E+05,3.575026E+06,1990,V
30-025-30746,6.246233E+05,3.565918E+06,1990,V
30-015-26509,6.143651E+05,3.576966E+06,1990,V
30-025-30872,6.343545E+05,3.559216E+06,1990,V
30-015-26021,6.130819E+05,3.575016E+06,1989,V
30-015-26174,6.161095E+05,3.565797E+06,1989,V
30-025-30599,6.323586E+05,3.557985E+06,1989,V
30-015-25977,6.148925E+05,3.566587E+06,1988,V
30-015-25831,6.156754E+05,3.568609E+06,1987,V
30-015-25773,6.156570E+05,3.570217E+06,1987,V
30-025-30050,6.344326E+05,3.553587E+06,1987,D
30-015-25639,6.140932E+05,3.570200E+06,1986,V
30-015-25696,6.148521E+05,3.570208E+06,1986,V
30-015-25534,6.183803E+05,3.577882E+06,1986,V
30-015-25263,6.161793E+05,3.558575E+06,1985,V
30-015-25450,6.102541E+05,3.542719E+06,1985,V
30-015-25299,6.122573E+05,3.544380E+06,1985,V
30-015-25455,6.122500E+05,3.545182E+06,1985,V
30-015-24780,6.122017E+05,3.575812E+06,1984,V
30-015-24954,6.191900E+05,3.577488E+06,1984,V
30-015-24420,6.111372E+05,3.577240E+06,1983,V
30-015-24155,6.166284E+05,3.553742E+06,1983,V
30-015-23992,6.127943E+05,3.574209E+06,1982,V
30-015-24147,6.146085E+05,3.551301E+06,1982,V
30-025-27600,6.300773E+05,3.549089E+06,1982,V
30-015-24257,6.180905E+05,3.573058E+06,1982,V
30-015-24039,6.078064E+05,3.543500E+06,1982,V
30-015-23739,6.132131E+05,3.572604E+06,1981,V
30-015-23783,6.149789E+05,3.557761E+06,1981,V
30-015-23491,6.182725E+05,3.551345E+06,1981,V
30-015-23175,6.144190E+05,3.572659E+06,1980,V
30-015-23283,6.149657E+05,3.559376E+06,1980,V
30-025-26978,6.341305E+05,3.546343E+06,1980,V
30-015-23017,6.071099E+05,3.542788E+06,1979,V
30-015-22810,6.086358E+05,3.542288E+06,1979,V
30-025-25553,6.337622E+05,3.573693E+06,1977,V
30-015-21229,6.192543E+05,3.571863E+06,1974,V
30-025-24893,6.325552E+05,3.573677E+06,1974,V
30-015-20803,6.106275E+05,3.577870E+06,1973,V
30-015-20751,6.132281E+05,3.571398E+06,1972,V
30-015-20538,6.144686E+05,3.568595E+06,1971,V
30-015-20232,6.100222E+05,3.577860E+06,1971,V
30-015-20298,6.176156E+05,3.574661E+06,1970,V
30-015-20272,6.194203E+05,3.557287E+06,1969,V
30-015-20242,6.180508E+05,3.571851E+06,1969,V
30-025-21802,6.329802E+05,3.549851E+06,1966,V
